agent_id,round,reward,termination,truncation,action_type,offer_to_opponent
agent_0,0,0.0,False,False,1,"[10, 10]"
agent_1,1,0.0,False,False,offer,
agent_0,1,0.0,False,False,1,"[10, 10]"
agent_1,2,0.0,False,False,offer,
agent_0,2,0.0,False,False,0,
agent_1,3,0.0,False,False,offer,
agent_0,3,0.0,False,False,0,
agent_1,4,0.0,False,False,offer,
agent_0,4,0.0,False,False,0,
agent_1,5,0.0,False,False,offer,
agent_0,5,0.0,False,False,0,
agent_1,6,0.0,False,False,offer,
agent_0,6,0.0,False,False,0,
agent_1,7,0.0,False,False,offer,
agent_0,7,0.0,False,False,0,
agent_1,8,0.0,False,False,offer,
agent_0,8,0.0,False,False,0,
agent_1,9,0.0,False,False,offer,
agent_0,9,0.0,False,False,0,
agent_1,10,0.0,False,False,offer,
agent_0,10,0.0,False,False,0,
agent_1,11,0.0,False,False,offer,
agent_0,11,0.0,False,False,0,
agent_1,12,0.0,False,False,offer,
agent_0,12,0.0,False,False,0,
agent_1,13,0.0,False,False,offer,
agent_0,13,0.0,False,False,0,
agent_1,14,0.0,False,False,offer,
agent_0,14,0.0,False,False,0,
agent_1,15,0.0,False,False,offer,
agent_0,15,0.0,False,False,0,
agent_1,16,0.0,False,False,offer,
agent_0,16,0.0,False,False,0,
agent_1,17,0.0,False,False,offer,
agent_0,17,0.0,False,False,0,
agent_1,18,0.0,False,False,offer,
agent_0,18,0.0,False,False,0,
agent_1,19,0.0,False,False,offer,
agent_0,19,0.0,False,False,0,
agent_1,20,0.0,False,False,offer,
agent_0,20,0.0,False,False,0,
agent_1,21,0.0,False,False,offer,
agent_0,21,0.0,False,False,0,
agent_1,22,0.0,False,False,offer,
agent_0,22,0.0,False,False,0,
agent_1,23,0.0,False,False,offer,
agent_0,23,0.0,False,False,0,
agent_1,24,0.0,False,False,offer,
agent_0,24,0.0,False,False,0,
agent_1,25,0.0,False,False,offer,
agent_0,25,0.0,False,False,0,
agent_1,26,0.0,False,False,offer,
agent_0,26,0.0,False,False,0,
agent_1,27,0.0,False,False,offer,
agent_0,27,0.0,False,False,0,
agent_1,28,0.0,False,False,offer,
agent_0,28,0.0,False,False,0,
agent_1,29,0.0,False,False,offer,
agent_0,29,0.0,False,False,0,
agent_1,30,0.0,False,False,offer,
agent_0,30,0.0,False,False,0,
agent_1,31,0.0,False,False,offer,
agent_0,31,0.0,False,False,0,
agent_1,32,0.0,False,False,offer,
agent_0,32,0.0,False,False,0,
agent_1,33,0.0,False,False,offer,
agent_0,33,0.0,False,False,0,
agent_1,34,0.0,False,False,offer,
agent_0,34,0.0,False,False,0,
agent_1,35,0.0,False,False,offer,
agent_0,35,0.0,False,False,0,
agent_1,36,0.0,False,False,offer,
agent_0,36,0.0,False,False,0,
agent_1,37,0.0,False,False,offer,
agent_0,37,0.0,False,False,0,
agent_1,38,0.0,False,False,offer,
agent_0,38,0.0,False,False,0,
agent_1,39,0.0,False,False,offer,
agent_0,39,0.0,False,False,0,
agent_1,40,0.0,False,False,offer,
agent_0,40,0.0,False,False,0,
agent_1,41,0.0,False,False,offer,
agent_0,41,0.0,False,False,0,
agent_1,42,0.0,False,False,offer,
agent_0,42,0.0,False,False,0,
agent_1,43,0.0,False,False,offer,
agent_0,43,0.0,False,False,0,
agent_1,44,0.0,False,False,offer,
agent_0,44,0.0,False,False,0,
agent_1,45,0.0,False,False,offer,
agent_0,45,0.0,False,False,0,
agent_1,46,0.0,False,False,offer,
agent_0,46,0.0,False,False,0,
agent_1,47,0.0,False,False,offer,
agent_0,47,0.0,False,False,0,
agent_1,48,0.0,False,False,offer,
agent_0,48,0.0,False,False,0,
agent_1,49,0.0,False,False,offer,
agent_0,49,0.0,False,False,0,
agent_1,50,-1.0,False,True,,
agent_0,50,-1.0,False,True,,
